id,bbox_min_x,bbox_min_y,bbox_max_x,bbox_max_y,ccd,visit,goodpix,weight,filter,fwhm
193148084,0,0,4071,3999,84,193148,970243,5.977181556052771,r_sim_1.4,0.7669724045413372
193148085,0,0,4071,3999,85,193148,6219398,5.977181556052771,r_sim_1.4,0.7670685400406624
193148087,0,0,4071,3999,87,193148,848715,5.977181556052771,r_sim_1.4,0.7623545542383211
193148088,0,0,4071,3999,88,193148,7458546,5.977181556052771,r_sim_1.4,0.7622552890849786
193148089,0,0,4071,3999,89,193148,100,5.977181556052771,r_sim_1.4,0.7662601175549694
193183060,0,0,4071,3999,60,193183,5215979,6.008040657249591,r_sim_1.4,0.7706923286421955
193183061,0,0,4071,3999,61,193183,83024,6.008040657249591,r_sim_1.4,0.7705105294367763
193183092,0,0,4071,3999,92,193183,425873,6.008040657249591,r_sim_1.4,0.7706787956744521
193183099,0,0,4071,3999,99,193183,9383749,6.008040657249591,r_sim_1.4,0.7716888057300036
193183100,0,0,4071,3999,100,193183,350216,6.008040657249591,r_sim_1.4,0.7707345196544012
193187080,0,0,4071,3999,80,193187,214908,5.987113110109607,r_sim_1.4,0.7823389628729536
193187118,0,0,4071,3999,118,193187,2859579,5.987113110109607,r_sim_1.4,0.7820752672893106
193187119,0,0,4071,3999,119,193187,11958300,5.987113110109607,r_sim_1.4,0.7837515979300295
193187122,0,0,4071,3999,122,193187,816257,5.987113110109607,r_sim_1.4,0.7846756819931113
193804157,0,0,4071,3999,157,193804,227243,12.209320809122016,r_sim_1.4,0.7615950573082786
193804158,0,0,4071,3999,158,193804,12899211,12.209320809122016,r_sim_1.4,0.7633397390078231
193804161,0,0,4071,3999,161,193804,1933765,12.209320809122016,r_sim_1.4,0.7612041139051211
193841023,0,0,4071,3999,23,193841,173316,12.060438806515958,r_sim_1.4,0.7459713195854236
202591085,0,0,4071,3999,85,202591,10751549,13.850894771620965,r_sim_1.4,0.6353220667309404
202591086,0,0,4071,3999,86,202591,1996892,13.850894771620965,r_sim_1.4,0.6332069146225342
202591088,0,0,4071,3999,88,202591,2436099,13.850894771620965,r_sim_1.4,0.6328929830986003
202591089,0,0,4071,3999,89,202591,422391,13.850894771620965,r_sim_1.4,0.6324473804761397
202618001,0,0,4071,3999,1,202618,638614,13.651131895891792,r_sim_1.4,0.7765629143028169
202618002,0,0,4071,3999,2,202618,2396467,13.651131895891792,r_sim_1.4,0.7788360852624591
202618004,0,0,4071,3999,4,202618,4316918,13.651131895891792,r_sim_1.4,0.7787718767110517
202618005,0,0,4071,3999,5,202618,8195275,13.651131895891792,r_sim_1.4,0.7753585330896029
212072034,0,0,4071,3999,34,212072,122949,4.065299076724357,r_sim_1.4,0.7821596217988159
212072035,0,0,4071,3999,35,212072,12725482,4.065299076724357,r_sim_1.4,0.7823703025755442
212072042,0,0,4071,3999,42,212072,1056244,4.065299076724357,r_sim_1.4,0.783199421189737
212072074,0,0,4071,3999,74,212072,1896483,4.065299076724357,r_sim_1.4,0.779410226594176
212125008,0,0,4071,3999,8,212125,15164,3.6946941077746636,r_sim_1.4,0.7173394350099388
212125038,0,0,4071,3999,38,212125,7298561,3.6946941077746636,r_sim_1.4,0.718876274477039
212125041,0,0,4071,3999,41,212125,139,3.6946941077746636,r_sim_1.4,0.7176599082933516
212125045,0,0,4071,3999,45,212125,7992249,3.6946941077746636,r_sim_1.4,0.7170677611019666
212125048,0,0,4071,3999,48,212125,353653,3.6946941077746636,r_sim_1.4,0.7172645648878705
242562057,0,0,4071,3999,57,242562,6154504,6.388458709377483,r_sim_1.4,0.7053373474020436
242562058,0,0,4071,3999,58,242562,1216877,6.388458709377483,r_sim_1.4,0.7074155060413873
242562060,0,0,4071,3999,60,242562,6161327,6.388458709377483,r_sim_1.4,0.712463384556855
242562061,0,0,4071,3999,61,242562,1889178,6.388458709377483,r_sim_1.4,0.7220619737961522
242595125,0,0,4071,3999,125,242595,2153542,6.967853659359475,r_sim_1.4,0.7774614837635692
242595132,0,0,4071,3999,132,242595,1759716,6.967853659359475,r_sim_1.4,0.77969485063359
242595162,0,0,4071,3999,162,242595,5975334,6.967853659359475,r_sim_1.4,0.7795919509363815
271299128,0,0,4071,3999,128,271299,1086761,7.768123029266199,r_sim_1.4,0.7121112302025554
271299131,0,0,4071,3999,131,271299,6571773,7.768123029266199,r_sim_1.4,0.7128665970758473
271299135,0,0,4071,3999,135,271299,981453,7.768123029266199,r_sim_1.4,0.7144194942729566
271299138,0,0,4071,3999,138,271299,6911358,7.768123029266199,r_sim_1.4,0.7121845578552526
414861029,0,0,4071,3999,29,414861,102460,10.299735346066912,r_sim_1.4,0.7185029908361644
414868166,0,0,4071,3999,166,414868,4327872,10.385942234246285,r_sim_1.4,0.6901066024677357
414868167,0,0,4071,3999,167,414868,2008450,10.385942234246285,r_sim_1.4,0.6891185649013224
414868169,0,0,4071,3999,169,414868,6465152,10.385942234246285,r_sim_1.4,0.688406334205751
414868170,0,0,4071,3999,170,414868,2829290,10.385942234246285,r_sim_1.4,0.6911822755666343
414892006,0,0,4071,3999,6,414892,1647585,9.927108700951099,r_sim_1.4,0.7264613953611702
436536091,0,0,4071,3999,91,436536,2007069,13.832252555095513,r_sim_1.4,0.7245094292640833
436536092,0,0,4071,3999,92,436536,7702623,13.832252555095513,r_sim_1.4,0.7268315831555074
436536094,0,0,4071,3999,94,436536,920465,13.832252555095513,r_sim_1.4,0.7238328714012667
436536095,0,0,4071,3999,95,436536,4869251,13.832252555095513,r_sim_1.4,0.7242816191419782
436581120,0,0,4071,3999,120,436581,7501193,13.796379050560098,r_sim_1.4,0.6655919794295319
436581121,0,0,4071,3999,121,436581,352104,13.796379050560098,r_sim_1.4,0.6684281386131805
436581123,0,0,4071,3999,123,436581,7286802,13.796379050560098,r_sim_1.4,0.6654845112953341
436581124,0,0,4071,3999,124,436581,1663,13.796379050560098,r_sim_1.4,0.6669999481855418
694197150,0,0,4071,3999,150,694197,2093100,4.036124830885401,r_sim_1.4,0.6959398254272561
694197151,0,0,4071,3999,151,694197,6963862,4.036124830885401,r_sim_1.4,0.6959671664735259
694197180,0,0,4071,3999,180,694197,1450939,4.036124830885401,r_sim_1.4,0.6957496272361454
694197181,0,0,4071,3999,181,694197,4807413,4.036124830885401,r_sim_1.4,0.6954059333238292
694227112,0,0,4071,3999,112,694227,2384220,4.020896069359707,r_sim_1.4,0.7171616354164041
694227113,0,0,4071,3999,113,694227,2163735,4.020896069359707,r_sim_1.4,0.7191155570082579
694227115,0,0,4071,3999,115,694227,5277479,4.020896069359707,r_sim_1.4,0.7154871407314266
694227116,0,0,4071,3999,116,694227,5741883,4.020896069359707,r_sim_1.4,0.7154852915253149
694244104,0,0,4071,3999,104,694244,3962746,4.0475332115308005,r_sim_1.4,0.7166690211861514
694244107,0,0,4071,3999,107,694244,5584562,4.0475332115308005,r_sim_1.4,0.7137586342817538
694244111,0,0,4071,3999,111,694244,2422890,4.0475332115308005,r_sim_1.4,0.7113889030593824
694244114,0,0,4071,3999,114,694244,3498097,4.0475332115308005,r_sim_1.4,0.7128704933239405
694266156,0,0,4071,3999,156,694266,6843858,4.027036799055102,r_sim_1.4,0.7149322991249998
694266157,0,0,4071,3999,157,694266,3556286,4.027036799055102,r_sim_1.4,0.7130683920537577
694266159,0,0,4071,3999,159,694266,3421989,4.027036799055102,r_sim_1.4,0.7149095159181023
694266160,0,0,4071,3999,160,694266,1805249,4.027036799055102,r_sim_1.4,0.71229156136973
694272005,0,0,4071,3999,5,694272,1642307,4.024502246106782,r_sim_1.4,0.709240946987504
694272009,0,0,4071,3999,9,694272,461950,4.024502246106782,r_sim_1.4,0.7033283329013895
694272012,0,0,4071,3999,12,694272,13587623,4.024502246106782,r_sim_1.4,0.705175907036698
694272015,0,0,4071,3999,15,694272,137553,4.024502246106782,r_sim_1.4,0.701131630996456
694301077,0,0,4071,3999,77,694301,289933,3.994875747099738,r_sim_1.4,0.7357259485111858
694301080,0,0,4071,3999,80,694301,3137614,3.994875747099738,r_sim_1.4,0.7346361468823185
694301084,0,0,4071,3999,84,694301,681090,3.994875747099738,r_sim_1.4,0.7368951242592333
694301087,0,0,4071,3999,87,694301,11599932,3.994875747099738,r_sim_1.4,0.7374130484435097
694315102,0,0,4071,3999,102,694315,1854545,3.9743251923354923,r_sim_1.4,0.7257566000275776
694315103,0,0,4071,3999,103,694315,12808146,3.9743251923354923,r_sim_1.4,0.7243399938294255
694315106,0,0,4071,3999,106,694315,1135073,3.9743251923354923,r_sim_1.4,0.7234084324475006
694316025,0,0,4071,3999,25,694316,10573643,3.955772296044712,r_sim_1.4,0.7235299197131513
694316026,0,0,4071,3999,26,694316,1126221,3.955772296044712,r_sim_1.4,0.7230519864126524
694316054,0,0,4071,3999,54,694316,11728,3.955772296044712,r_sim_1.4,0.7241462651847123
694316055,0,0,4071,3999,55,694316,3916140,3.955772296044712,r_sim_1.4,0.7234030201294891
694316056,0,0,4071,3999,56,694316,4286,3.955772296044712,r_sim_1.4,0.7242649561413826
698740111,0,0,4071,3999,111,698740,844093,13.614264828371727,r_sim_1.4,0.5942495415713058
698740112,0,0,4071,3999,112,698740,49334,13.614264828371727,r_sim_1.4,0.5937374383127115
698740114,0,0,4071,3999,114,698740,13871181,13.614264828371727,r_sim_1.4,0.5925040850654671
698740115,0,0,4071,3999,115,698740,895024,13.614264828371727,r_sim_1.4,0.5935125228282309
698770054,0,0,4071,3999,54,698770,740837,13.787516610381338,r_sim_1.4,0.5906632244291602
698770055,0,0,4071,3999,55,698770,11226383,13.787516610381338,r_sim_1.4,0.5911200516949432
698770057,0,0,4071,3999,57,698770,307313,13.787516610381338,r_sim_1.4,0.5920413876670032
698770058,0,0,4071,3999,58,698770,3382373,13.787516610381338,r_sim_1.4,0.5934116061061243
718818091,0,0,4071,3999,91,718818,2157930,13.160434776423617,r_sim_1.4,0.7820304453716549
718818092,0,0,4071,3999,92,718818,5307182,13.160434776423617,r_sim_1.4,0.7895537913158674
718818094,0,0,4071,3999,94,718818,2480889,13.160434776423617,r_sim_1.4,0.7851983394298064
718818095,0,0,4071,3999,95,718818,5715915,13.160434776423617,r_sim_1.4,0.7862082158345775
733727017,0,0,4071,3999,17,733727,5480822,3.9499324426229685,r_sim_1.4,0.7879850326467968
733727024,0,0,4071,3999,24,733727,1337001,3.9499324426229685,r_sim_1.4,0.787307201575597
733727047,0,0,4071,3999,47,733727,7369442,3.9499324426229685,r_sim_1.4,0.7872555697793371
733727054,0,0,4071,3999,54,733727,1176840,3.9499324426229685,r_sim_1.4,0.7856756939784486
753606102,0,0,4071,3999,102,753606,13491868,4.230133348447952,r_sim_1.4,0.6741315665142503
753606103,0,0,4071,3999,103,753606,249484,4.230133348447952,r_sim_1.4,0.6733106897088533
753606105,0,0,4071,3999,105,753606,1922316,4.230133348447952,r_sim_1.4,0.6744865886476322
753606106,0,0,4071,3999,106,753606,67131,4.230133348447952,r_sim_1.4,0.6724784256798517
797322183,0,0,4071,3999,183,797322,7914,11.168172607489236,r_sim_1.4,0.6758189886657444
797322184,0,0,4071,3999,184,797322,14061226,11.168172607489236,r_sim_1.4,0.6745673508539799
797322185,0,0,4071,3999,185,797322,131927,11.168172607489236,r_sim_1.4,0.67195896360477
797322187,0,0,4071,3999,187,797322,1489305,11.168172607489236,r_sim_1.4,0.6738801753501753
797322188,0,0,4071,3999,188,797322,28528,11.168172607489236,r_sim_1.4,0.6710221359012852
797323006,0,0,4071,3999,6,797323,29052,11.183256778971463,r_sim_1.4,0.6604087834972441
797323029,0,0,4071,3999,29,797323,11661041,11.183256778971463,r_sim_1.4,0.6582813819687244
797323036,0,0,4071,3999,36,797323,4139663,11.183256778971463,r_sim_1.4,0.6589976598398928
942525157,0,0,4071,3999,157,942525,310526,4.664717389972766,r_sim_1.4,0.7895199420326715
942525160,0,0,4071,3999,160,942525,11782408,4.664717389972766,r_sim_1.4,0.7863088290719712
942525161,0,0,4071,3999,161,942525,3043742,4.664717389972766,r_sim_1.4,0.7903190373487269
942613006,0,0,4071,3999,6,942613,3303495,4.660961760755823,r_sim_1.4,0.7827375332613156
942613029,0,0,4071,3999,29,942613,1877967,4.660961760755823,r_sim_1.4,0.7868694270915969
942613036,0,0,4071,3999,36,942613,103396,4.660961760755823,r_sim_1.4,0.7840021077046541
964114160,0,0,4071,3999,160,964114,1869260,13.311321868526067,r_sim_1.4,0.7826121561589101
964114161,0,0,4071,3999,161,964114,10931233,13.311321868526067,r_sim_1.4,0.7815109295220006
964153144,0,0,4071,3999,144,964153,1957669,13.364081423909964,r_sim_1.4,0.787154253752295
964153145,0,0,4071,3999,145,964153,4163354,13.364081423909964,r_sim_1.4,0.7855489049549352
964153147,0,0,4071,3999,147,964153,3086696,13.364081423909964,r_sim_1.4,0.7865075457809543
964153148,0,0,4071,3999,148,964153,6280593,13.364081423909964,r_sim_1.4,0.7852952113907727
964154119,0,0,4071,3999,119,964154,3966398,13.35849014750056,r_sim_1.4,0.7550237065540863
964154122,0,0,4071,3999,122,964154,8641188,13.35849014750056,r_sim_1.4,0.7541217612594241
964154126,0,0,4071,3999,126,964154,452058,13.35849014750056,r_sim_1.4,0.7573145848057004
964154129,0,0,4071,3999,129,964154,2354320,13.35849014750056,r_sim_1.4,0.7564437404294392
985732068,0,0,4071,3999,68,985732,106109,13.473622402598393,r_sim_1.4,0.792936567056498
985732071,0,0,4071,3999,71,985732,7552930,13.473622402598393,r_sim_1.4,0.7872791786870691
985732110,0,0,4071,3999,110,985732,9794,13.473622402598393,r_sim_1.4,0.7846393368561582
985753075,0,0,4071,3999,75,985753,2513088,13.568843553370598,r_sim_1.4,0.7383883906777876
985753076,0,0,4071,3999,76,985753,402963,13.568843553370598,r_sim_1.4,0.7332000059380074
985753078,0,0,4071,3999,78,985753,10968559,13.568843553370598,r_sim_1.4,0.7382770000025098
985753079,0,0,4071,3999,79,985753,1761969,13.568843553370598,r_sim_1.4,0.7402799556424792
1185205018,0,0,4071,3999,18,1185205,2397078,11.900517761736495,r_sim_1.4,0.6849585703941977
1185205019,0,0,4071,3999,19,1185205,9773528,11.900517761736495,r_sim_1.4,0.682886742955313
1185205021,0,0,4071,3999,21,1185205,315464,11.900517761736495,r_sim_1.4,0.6856702605477101
1185205022,0,0,4071,3999,22,1185205,3249819,11.900517761736495,r_sim_1.4,0.6830307160848783
1185207131,0,0,4071,3999,131,1185207,2127616,11.9109787564398,r_sim_1.4,0.6943661121288688
1185207133,0,0,4071,3999,133,1185207,632260,11.9109787564398,r_sim_1.4,0.6939315114095688
1185207134,0,0,4071,3999,134,1185207,12703459,11.9109787564398,r_sim_1.4,0.694774812387094
1185207141,0,0,4071,3999,141,1185207,441388,11.9109787564398,r_sim_1.4,0.6953158573200904
1186062123,0,0,4071,3999,123,1186062,1442395,12.91410316406993,r_sim_1.4,0.717779979378227
1186066001,0,0,4071,3999,1,1186066,571712,12.94953494860861,r_sim_1.4,0.7150383750160696
1189353070,0,0,4071,3999,70,1189353,2089260,13.493664042525008,r_sim_1.4,0.7216625431583779
1189353071,0,0,4071,3999,71,1189353,13109051,13.493664042525008,r_sim_1.4,0.727027279342118
1189353109,0,0,4071,3999,109,1189353,84165,13.493664042525008,r_sim_1.4,0.7283934351806561
1189353110,0,0,4071,3999,110,1189353,252536,13.493664042525008,r_sim_1.4,0.7251089443950046
1189387103,0,0,4071,3999,103,1189387,2046074,13.504883592911558,r_sim_1.4,0.7597590215709252
1189387104,0,0,4071,3999,104,1189387,1891021,13.504883592911558,r_sim_1.4,0.7613957321973245
1189387106,0,0,4071,3999,106,1189387,6383053,13.504883592911558,r_sim_1.4,0.7606657987561133
1189387107,0,0,4071,3999,107,1189387,5089296,13.504883592911558,r_sim_1.4,0.7604015420663154
1233923111,0,0,4071,3999,111,1233923,205033,13.79962432150374,r_sim_1.4,0.7831877047128056
1233923112,0,0,4071,3999,112,1233923,2672703,13.79962432150374,r_sim_1.4,0.7837160434161963
1233923114,0,0,4071,3999,114,1233923,1919248,13.79962432150374,r_sim_1.4,0.7826712415372404
1233923115,0,0,4071,3999,115,1233923,10869397,13.79962432150374,r_sim_1.4,0.7796234067366843
